class_id,quest_id,name,description,limit,reward,gem
,damage,More Dakka,"Deal 10,000 total damage to enemies with SK04-A, in winning battles.",10000,+2 Skill Points,
,instability,Neural Net Processor,"Reach 100% instability with SK04-A in the party, and win the battle.",,"+2 Skill Points, HavocAI Coprocessor Relic gains Sprite.infinity_med copies",HavocAI
,weapons,Heavy Arsenal,Use 3 different weapon skills from SK04-A's Arsenal in a single winning battle.,3,"+2 Skill Points, Biotic Battery Relic gains Sprite.infinity_med copies",BioticBattery
angel,cleric,Holy Warriors,Win 10 battles with both Asariel and Brand the Cleric in the party.,10,"+2 Skill Points, Asariel's Halo Relic gains Sprite.infinity_med copies",AsarielsTouch
angel,holy,Divine Wrath,"Deal 4000 total SkillType.Holy damage to enemies with Asariel, in winning battles.",4000,+2 Skill Points,
angel,nobleed,Blessed Protection,"Win 3 Extreme Danger or Boss battles with Asariel in the party, without any allies bleeding out.",3,"+2 Skill Points, Angel's Feather Relic gains Sprite.infinity_med copies",AngelsWing
assassin,ambush,From the Shadows,"Deal 1200 total damage with Yukiko while hidden by her Ambush skill, in a single winning battle.",1200,+2 Skill Points,
assassin,boss,King Slayer,"Strike the final blow on a Boss enemy with Yukiko's Execute skill, and win the battle.",,"+2 Skill Points, Yukiko's Dagger Relic gains Sprite.infinity_med copies",YukikosDagger
assassin,execute,Executioner,"Strike the final blow on 15 total enemies with Yukiko's Execute skill, in winning battles.",15,"+2 Skill Points, Assassin Spirit Relic gains Sprite.infinity_med copies",AssassinSpirit
banker,crisis,Once in a Lifetime,Have Graham trigger Financial Crisis twice in a single winning battle.,2,"+2 Skill Points, Graham's Cigar Relic gains Sprite.infinity_med copies",GrahamsCigar
banker,debt,Diversified Portfolio,Have Graham's Debt effect applied to 6 unique targets at once in a single winning battle.,6,+2 Skill Points,
banker,loan,Sub Prime Lending,"Use Graham's Loan skill on 9 total unique allies, in winning battles.",9,"+2 Skill Points, Money Bag Relic gains Sprite.infinity_med copies",MoneyBag
banshee,possess,Revisiting Life,"Use Kiara's Possession skill on 7 total unique allies, in winning battles.",7,"+2 Skill Points, Kiara's Voice Relic gains Sprite.infinity_med copies",KiarasVoice
banshee,shriek,Mourn the Dead,"Activate Kiara's Shriek skill 10 total times, in winning battles.",10,"+2 Skill Points, Banshee's Wail Relic gains Sprite.infinity_med copies",BansheesWail
banshee,wisps,Chasing Spirits,"Kill 25 total Will-O-Wisp enemies in winning battles, with Kiara in the party.",25,+2 Skill Points,
barbarian,overpower,Power Overwhelming,"Hit a Boss enemy with Odrak's Overpower skill, and win the battle.",,"+2 Skill Points, Odrak's Claymore Relic gains Sprite.infinity_med copies",OdraksFury
barbarian,rage,Savagery,"Activate Odrak's Rage skill 13 total times, in winning battles.",13,+2 Skill Points,
barbarian,viking,Brothers in Arms,Win 10 battles with both Odrak and Thorg the Viking in the party.,10,"+2 Skill Points, Barbarism Totem Relic gains Sprite.infinity_med copies",Barbarism
