enemy_id,name,category,category_mechanics,sprite_path,n_encounters,hp,power,focus,toughness,discipline,speed,agility,endurance,wisdom,technique,base_source
Annihilator,Annihilator,mechs,"Robots, drones, mechs, etc. Mechanical enemies are immune to SkillType.Poison and SkillType.Sleep damage, but take double SkillType.Lightning damage.",,5,,111,20,101,50,81,20,203,70,101,code
AnnihilatorMk2,Annihilator Mk2,mechs,"Robots, drones, mechs, etc. Mechanical enemies are immune to SkillType.Poison and SkillType.Sleep damage, but take double SkillType.Lightning damage.",,4,,142,20,131,70,101,20,223,70,111,code
Anointed,Anointed,cultists,"Normal humans and humanoids. Humans have no particular strengths or weaknesses, but can often be quite versatile.",characters/enemy/anointed.png,2,,70,192,70,131,101,70,81,101,131,code
ArmoredDrone,Armored Drone,mechs,"Robots, drones, mechs, etc. Mechanical enemies are immune to SkillType.Poison and SkillType.Sleep damage, but take double SkillType.Lightning damage.",characters/enemy/armored_drone.png,5,,192,50,131,81,101,40,162,81,101,code
ArmoredEngineer,Armored Engineer,cultists,"Normal humans and humanoids. Humans have no particular strengths or weaknesses, but can often be quite versatile.",characters/enemy/armored_engineer.png,1,,111,111,142,111,70,50,111,81,142,code
AutoSaw,Auto Saw,mechs,"Robots, drones, mechs, etc. Mechanical enemies are immune to SkillType.Poison and SkillType.Sleep damage, but take double SkillType.Lightning damage.",,0,,131,20,101,70,131,70,111,50,81,code
Avatar,Avatar,cultists,"Normal humans and humanoids. Humans have no particular strengths or weaknesses, but can often be quite versatile.",,12,,40,223,50,192,50,50,101,162,70,code
Beastrager,Beastrager,cultists,"Normal humans and humanoids. Humans have no particular strengths or weaknesses, but can often be quite versatile.",,28,,81,70,81,70,142,111,81,81,101,code
BigBlob,Big Blob,bosses,"Bosses The most dangerous foes, empowered by dark cultist technology and power stolen from the Ancients. Beware!",characters/enemy/big_blob.png,1,,233,20,223,50,50,20,253,20,81,code
BigShroom,Big Shroom,plants,"Plants and plant-based life from the forest. Plant enemies regain some HP every turn through photosynthesis, but take 50% extra damage from SkillType.Ice attacks.",characters/enemy/big_shroom.png,4,,81,111,101,101,81,50,131,81,101,code
Biter,Biter,beasts,"Animals and monsters. Beasts become more dangerous when they reach critical HP levels, doubling their Speed and Power.",,4,,101,101,40,40,162,192,81,81,101,code
Blob,Blob,anomalies,"Strange creatures that do not fit any known category. Anomalies have a wide range of abilities, but no specific strengths or weaknesses.",characters/enemy/blob.png,5,,111,50,20,20,50,20,315,50,111,extrapolated
BlobDark,Blob Dark,anomalies,"Strange creatures that do not fit any known category. Anomalies have a wide range of abilities, but no specific strengths or weaknesses.",,6,,70,131,142,70,70,20,70,101,81,code
BlobFlesh,Blob Flesh,anomalies,"Strange creatures that do not fit any known category. Anomalies have a wide range of abilities, but no specific strengths or weaknesses.",,0,,101,81,142,50,81,20,131,81,111,code
BlobFrozen,Blob Frozen,anomalies,"Strange creatures that do not fit any known category. Anomalies have a wide range of abilities, but no specific strengths or weaknesses.",,6,,70,111,223,131,50,40,131,101,111,code
BlobGreen,Blob Green,anomalies,"Strange creatures that do not fit any known category. Anomalies have a wide range of abilities, but no specific strengths or weaknesses.",,3,,101,111,70,70,81,20,203,70,101,code
BlobGrey,Blob Grey,anomalies,"Strange creatures that do not fit any known category. Anomalies have a wide range of abilities, but no specific strengths or weaknesses.",,5,,50,20,620,70,20,20,50,20,40,extrapolated
BlobPrism,Blob Prism,anomalies,"Strange creatures that do not fit any known category. Anomalies have a wide range of abilities, but no specific strengths or weaknesses.",,2,,101,111,101,81,81,50,131,131,81,code
