distortion_id,codename,name,short_name,type,rarity,negative,exclusions,level_1,level_2,level_3,param,link_method,candidates
adrenalboost,AdrenalBoost,Adrenal Boost,Adr. Boost,party,3,False,-,Allies lose 25% less stamina.,-,-,[0.75],name,-
antivenom,Antivenom,Antivenom,Shield,party,3,False,-,Allies take 40% decreased SkillType.Poison damage.,-,-,[0.6],name,-
apathy,Apathy,Apathy,Apathy,party,0,True,-,Focus and Discipline are decreased by -5.,-,-,[5.0],name,-
archaeologist,Archaeologist,Archaeologist,Archaeologist,party,3,False,-,"20% increased chance to find relics in battle rewards, but receive 10% fewer particles from battles.",-,-,[0.9;1.0;20.0],name,-
battlehardened,BattleHardened,Battle Hardened,Battle Hardened,party,0,False,-,The first damage taken by the party each battle is negated.,-,-,-,name,-
battleready,BattleReady,Battle Ready,Battle Ready,party,0,False,-,The first damage an ally deals in each battle is increased by 50%.,-,-,[1.5],name,-
beacon,Beacon,Particle Beacon,Beacon,party,3,False,-,"Enemy attributes are increased, but gain 20% more particles from battle rewards.",-,-,[1.2],size+sim,-
beastslayer,BeastSlayer,Beast Slayer,Beast Slayer,party,3,False,-,"Deal 25% increased damage to Beast enemies, but 15% reduced damage to Mechanical and Undead enemies.",-,-,[0.25;0.85],name,-
berserk,Berserk,Berserker's Rage,Berserk,party,3,False,-,"A random ally gains HP regeneration and +25 Power, but 50% chance to lose control. Resets every battle.",-,-,[25.0;50.0],size+sim,-
blessedblade,BlessedBlade,Blessed Blade,Blessed,party,2,False,-,Allies deal 0.3x Focus added SkillType.Holy damage with direct SkillType.Melee attacks.,-,-,[0.3],name,-
bloodbond,BloodBond,Blood Bond,Blood Bond,ally,3,False,-,"Take 10% HP SkillType.Physical damage after every turn, but fully restore HP and gain a Free Turn when scoring a killing blow.",-,-,[0.1],name,-
bloodlust,Bloodlust,Bloodlust,Bloodlust,party,3,False,-,Restore 30% HP when scoring a killing blow.,-,-,[0.3],name,-
bluntammo,BluntAmmo,Blunted Ammo,Blunt Ammo,party,1,True,SharpAmmo,Allies suffer 50% decreased critical hit chance with SkillType.Ranged skills.,-,-,[0.5],size+sim,-
bluntweaponry,BluntWeaponry,Blunted Weaponry,Blunt Weaponry,party,1,True,HonedEdge,Allies suffer 50% decreased critical hit chance with SkillType.Melee attacks.,-,-,[0.5],size+sim,-
breakroulette,BreakRoulette,Time Break Roulette,Break Roulette,party,1,False,-,Time Break Techs have a 10% chance to take 0 particles.,-,-,-,size+sim,-
breaktechnician,BreakTechnician,Time Break Technician,Break Technician,party,2,False,Wastefulness,Time Break Techs cost 25% fewer particles.,-,-,[0.5;0.75],size+sim,-
bruiser,Bruiser,Bruiser,Bruiser,party,3,False,Elementalist,"SkillType.Physical and SkillType.Stun damage dealt is increased by 50%, but SkillType.Fire SkillType.Lightning SkillType.Ice SkillType.Dark and SkillType.Holy damage dealt is reduced by 30%.",-,-,[0.5;0.7],name,-
bumbling,Bumbling,Bumbling,Bumbling,ally,0,True,-,"Technique is decreased by -10, and Skills cost 25% more MP.",-,-,[1.25;10.0],name,-
burnbright,BurnBright,Burn Bright,Burn Bright,ally,3,False,-,"All attributes are increased by +50%, but hero dies immediately if downed, instead of bleeding out.",-,-,[1.5],name,-
cache,Cache,Cache,Cache,party,0,False,-,Immediately gain 50 particles.,-,-,-,name,-
capacitor,Capacitor,Capacitor,Capacitor,party,1,False,-,"Every tenth ally skill used costs 1 MP, if it would usually cost more.",-,-,-,name,-
chargedarmor,ChargedArmor,Charged Armor,Chg Armor,ally,3,False,-,"When hit by a SkillType.Melee Attack, return SkillType.Lightning damage to attacker based on Toughness that can jump to adjacent enemies.",-,-,-,name,-
chargedfield,ChargedField,Charged Field,Charged Field,all,1,False,-,All SkillType.Lightning damage is doubled.,-,-,[2.0],name,-
cloudedvision,CloudedVision,Clouded Vision,Clouded Vision,party,2,True,-,Allies suffer 25% decreased hit chance with SkillType.Ranged attacks.,-,-,[0.25],name,-
clumsy,Clumsy,Clumsy,Clumsy,ally,1,True,-,"Agility is decreased by -10, and have a 6% chance to stumble when acting in battle.",-,-,[6.0;10.0;2;7],name,-
crusher,Crusher,Crusher,Crusher,party,2,False,-,Deal double SkillType.Stun damage.,-,-,[1.0],name,-
crystalhunter,CrystalHunter,Crystal Hunter,Crystal Hunter,party,1,False,-,Gain 25% more particles from confluence crystals.,-,-,[0.5;1.25],name,-
cursed,Cursed,Cursed,Cursed,party,3,True,-,Chance to gain additional negative distortions is increased by 50%.,-,-,-,name,-
darkinfusion,DarkInfusion,Dark Infusion,Dark Infusion,ally,3,False,-,"No longer lose stamina, but max HP is reduced by 30%.",-,-,[0.7],name,-
depreciation,Depreciation,Depreciation,Depreciation,party,0,True,-,Immediately lose 25 particles.,-,-,-,name,-
distorted,Distorted,Distorted,Distorted,party,3,False,-,Chance to gain additional distortions is increased by 50%.,-,-,-,name,-
divineinspiration,DivineInspiration,Divine Inspiration,Divine Insp.,party,2,False,-,All allied SkillType.Holy skills gain +1 level for this mission.,-,-,-,name,-
efficient,Efficient,Efficient,Efficent,random,2,False,Malaise,Skills cost 25% less MP.,-,-,[0.75],name,-
elementalist,Elementalist,Elementalist,Elementalist,party,3,False,Bruiser,"SkillType.Fire SkillType.Lightning and SkillType.Ice damage dealt is doubled, but SkillType.Physical damage dealt is reduced by 25%.",-,-,[0.75;1.0],name,-
elementalshield,ElementalShield,Elemental Shield,Shield,party,3,False,-,Allies take 25% decreased SkillType.Fire SkillType.Lightning and SkillType.Ice damage.,-,-,[0.75],name,-
elusive,Elusive,Elusive,Elusive,ally,3,False,-,"30% chance for incoming damage to miss, but max HP is reduced by 15%.",-,-,[0.85;30.0],name,-
empowered,Empowered,Empowered,Empowered,ally,3,False,-,All attributes increased by 10%.,-,-,[1.1],name,-
anomalylastgasp,AnomalyLastGasp,Call of the Void,Call of Void,party,0,True,-,Anomaly enemies gain Last Gasp at start of battle: Automatically take an extra turn when downed.,-,-,[3;2;7],size+sim,-
anomalyskull,AnomalySkull,Unstoppable Anomalies,ThickAnomaly,party,0,True,-,Anomaly enemies gain Thick Skull trait: Immune to SkillType.Stun damage.,-,-,[2;7;3],size+sim,-
beastallforone,BeastAllForOne,Pack Hunters,Pack Hnt,party,0,True,-,Beast enemies gain All For One trait: Gain 5% of all attributes from all allies.,-,-,[2;7;3],size+sim,-
beastfrenzy,BeastFrenzy,Enraged Beasts,Enraged Beasts,party,0,True,-,Beast enemies Frenzy at start of battle: Increases Speed by 50% and damage by 35% for 3 turns.,-,-,[3;2;7],size+sim,-
beastshield,BeastShield,Beast Shield,Beast Shield,party,0,True,-,Beast enemies gain Ancient Shield: Take 50% decreased damage when at critical HP.,-,-,[2;7;3],name,-
cultistbarkskin,CultistBarkskin,All Bark,All Bark,party,0,True,-,Cultist enemies gain Barkskin at start of battle: Blocks up to 0.5x Focus SkillType.Physical damage taken for 3 turns.,-,-,[3;2;7],size+sim,-
cultistdemon,CultistDemon,Demonic Cult,Demonic Cult,party,0,True,-,Cultist enemies gain Demon type bonuses.,-,-,[3;2;7],size+sim,-
cultistdischarge,CultistDischarge,Elecrified Cultists,Electric Cult,enemy,0,True,-,Cultists cast Discharge when downed: Deal SkillType.Lightning damage to all enemies.,-,-,[3;2;7],size+sim,-
cultistethereal,CultistEthereal,Ghostly Cult,Ghostly Cult,party,0,True,-,Cultist enemies gain Ethereal at start of battle: Immune to damage until first turn.,-,-,[3;2;7],size+sim,-
cultistlastgasp,CultistLastGasp,Last Gasp,Last Gasp,party,0,True,-,Cultist enemies gain Last Gasp at start of battle: Automatically take an extra turn when downed.,-,-,[3;2;7],size+sim,-
cultistshroud,CultistShroud,Cultist Shroud,Cultist Shroud,party,0,True,-,Cultist enemies gain Dark Shroud at start of battle: Increased dodge chance and HP regen for 2 turns.,-,-,[3;2;7],name,-
cultisttoxic,CultistToxic,Toxic Cultists,Toxic Cult,party,0,True,-,"Cultist enemies gain Toxic Skin: When hit by a SkillType.Melee Attack, poison the attacker.",-,-,[3;2;7],size+sim,-
cultistvinearmor,CultistVineArmor,Herbiculture,Herbiculture,party,0,True,-,Cultist enemies gain Vine Armor trait: Increases Toughness by 50% of Focus.,-,-,[3;2;7],size+sim,-
demonflamewreath,DemonFlameWreath,Sulfuric Air,Sulfuric Air,enemy,0,True,-,Demons gain Flame Wreath: Blocks SkillType.Melee damage and deals SkillType.Fire damage to attackers. Activates at less than 50% HP.,-,-,[2;7;3],size+sim,-
demonshield,DemonShield,Demon Shield,Demon Shield,enemy,0,True,-,Demon enemies gain Ancient Shield: Take 50% decreased damage when at critical HP.,-,-,[2;7;3],name,-
impallforone,ImpAllForOne,Imp Army Tactics,Imp Army,party,0,True,-,Imp enemies gain All For One trait: Gain 5% of all attributes from all allies.,-,-,[2;7;3],size+sim,-
ionizedmetal,IonizedMetal,Ionized Metal,IonMetal,party,0,True,-,Mechanical enemies take 50% less non-SkillType.Physical damage.,-,-,[0.5;3],name,-
lessdamage,LessDamage,Ancient's Protection,Ancient Prt,party,0,True,-,Enemies take 15% decreased damage.,-,-,[0.85],size+sim,-
mechmerciless,MechMerciless,Merciless Mechs,MeanMechs,party,0,True,-,Mechanical enemies gain Merciless trait: Deal 50% increased damage against critical HP enemies.,-,-,[2;7;3],size+sim,-
moredamage,MoreDamage,Ancient's Power,Ancient Pwr,party,0,True,-,Enemies deal 15% increased damage and healing.,-,-,[1.15],size+sim,-
plantmerciless,PlantMerciless,Merciless Plants,MeanPlants,party,0,True,-,Plant enemies gain Merciless trait: Deal 50% increased damage against critical HP enemies.,-,-,[2;7;3],size+sim,-
plantpredator,PlantPredator,Carnivorous Plants,CarnivorePlants,party,0,True,-,Plant enemies gain Predator trait: Increases Power by up to 100% based on current health.,-,-,[2;7;3],size+sim,-
plantshield,PlantShield,Shielded Plants,Plant Shield,party,0,True,-,Plant enemies gain Ancient Shield: Take 50% decreased damage when at critical HP.,-,-,[2;7;3],size+sim,-
undeadhardkill,UndeadHardKill,Resilient Dead,Resilient Dead,party,0,True,-,Undead enemies gain Hard To Kill trait: Can only be downed by damage over 10% of max HP.,-,-,[3;2;7],size+sim,-
undeadrage,UndeadRage,Undead Rage,Undead Rage,party,0,True,-,Undead enemies gain Blood Rage trait: Increased Power and decreased Technique when at critical HP.,-,-,[3;2;7],name,-
undeadsteal,UndeadSteal,Hungry Dead,Hungry Dead,party,0,True,-,Undead enemies gain Life Steal trait: Restore HP based on damage dealt.,-,-,[3;2;7],size+sim,-
volatilecultists,VolatileCultists,Volatile Cultists,Voltl Cult,enemy,0,True,-,Cultists cast Burnout when downed: Deal SkillType.Fire damage to all enemies.,-,-,[3;2;7],name,-
energized,Energized,Energized,Energized,party,2,False,-,Allies deal 0.25x Focus added SkillType.Energy damage with SkillType.Attack skills.,-,-,[0.25],name,-
ennui,Ennui,Ennui,Ennui,ally,2,True,-,Focus and Discipline are decreased by -15.,-,-,[15.0],name,-
extinguished,Extinguished,Extinguished,Extinguished,party,1,True,SoulFire,All allied SkillType.Fire skills lose -1 level for this mission.,-,-,-,name,-
