Relic Name,Effect Description,Granted Skill,Source,,
,,,Method,Class,Availability
Abraham's Locket,Decreases taken damage based on current HP up to 50%.,-,Class Quest,Vampire Hunter,Act 3
Agent's Watch,Decreases turn delay of [Attack] skills by 10%. Grants Disarm skill.,Disarm,Class Quest,Secret Service,Post Act 3
Alacrity Implant,Increases Technique by 0.35x Speed. Grants Frenzy skill.,Frenzy,Class Quest,Super Soldier,Act 1
Angel's Feather,"Prevents being downed and casts Holy Shield on self when critical, once per battle.",-,Class Quest,Angel,Post Act 2
Ankh Staff,Increases Bleedout time for allies by 2 turns.,-,Class Quest,Jackal Priest,Act 1
Antagonist,Heal for 10% of maximum HP whenever you deal [Stun] damage.,-,Class Quest,Clown,Post Act 1
Apollo's Token,Increases Focus and Discpline by +5 and +15%.,-,Mission Reward,-,-
Arcane Vision,Increases Technique by 0.5x Focus.,-,Class Quest,Spellblade,Act 3
Ares Gem,Increases Power and Toughness by +5 and +15%.,-,Mission Reward,-,-
Aromatic Mask,Gain 3 Resist before every turn.,-,Class Quest,Plague Doctor,Act 1
Artemis Gem,Increases Agility and Technique by +5 and +15%.,-,Mission Reward,-,-
Asariel's Halo,Healed allies receive 15% increased healing for 3 turns. Grants Mend skill.,Mend,Class Quest,Angel,Post Act 2
Assassin Spirit,"When an enemy is downed, 35% chance to gain a Free Turn.",-,Class Quest,Assassin,Act 1
Athena Token,Increases Power and Wisdom by +5 and +15%.,-,Mission Reward,-,-
Attunement,Adds up to 1x MP cost to [Spell] hits. Grants Moonbeam skill.,Moonbeam,Class Quest,Druid,Act 3
AutoMedico Pamphlet,Increases Particles gained from battle by 10%.,-,Class Quest,Med Bot,Act 2
Banshee's Wail,[Sonic] skill damage pierces additional defenses. Grants Wail skill.,Wail,Class Quest,Banshee,Act 2
Barbarism Totem,Decreases MP cost of [Attack] skills by 50% but decreases Wisdom by 25%.,-,Class Quest,Barbarian,Act 2
Battle Plans,Increases Wisdom by +15 and 25%. Grants Strategize skill.,Strategize,Class Quest,General,Act 2
Biotic Battery,"Self [Healing] received also creates a shield, blocking up to 35% Max HP damage. Grants Reserve Battery.",Reserve Battery,Class Quest,Cyborg,Act 5
Black Beret,"Increases all attributes by +1 for every 20 damage blocked by this hero's skills, up to +50.",-,Class Quest,Mime,Post Act 4
Blitzer's Speed,Gain 15% increased Speed for the first three turns of battle. Grants Blitz Stance skill.,Blitz Stance,Class Quest,Linebacker,Post Act 1
Bloody Cloth,"Sacrificing HP increases Endurance based on percent sacrificed, up to +150.",-,Class Quest,Blood Mage,Act 4
Blueberry,Increases MP Healing output by 40%.,-,Class Quest,Pixie,Post Act 3
Bone Charm,Reduces [MP] and [Dark] damage received by 25%.,-,Class Quest,Necromancer,Act 2
Booster Shot,Increases [Healing] skill strength by 10% for each Resist stack on target.,-,Class Quest,Doctor,Post Act 3
Boxing Glove,Deal 30% added [Stun] damage with [Attack] skills.,-,Class Quest,Boxer,Post Act 2
Brand's Rosary,"Increases Power by 0.35x Focus, and Focus by 0.35x Power.",-,Class Quest,Cleric,Act 2
Brawler's Heart,Toughness and [Healing] received increased by 50% when at critical HP.,-,Class Quest,Brawler,Act 5
Brimmed Glasses,"Increases Speed by 0.5x Focus, but decreases Technique by 10%.",-,Class Quest,Chemist,Act 4
Burning Ember,Deal 25% added [Fire] with [Melee] skill hits. Grants Burning Skin.,Burning Skin,Boss Reward,-,-
Buzzard's Saw,20% chance to gain a Free Turn after using a [Gadget] skill. Grants Chainsaw skill.,Chainsaw,Class Quest,Raider,Act 1
Cactus Trimming,"Deal 5% increased [Attack] damage for each [Debuff] on target, up to 50%. Grants Needle Volley skill.",Needle Volley,Class Quest,Cerean,Act 5
Caleb's Malice,Returns 50% of direct damage taken as [Dark] damage to attacker.,-,Class Quest,Dark Knight,Act 2
CENCOM Manual,Increases [Lightning] damage dealt by 15%. Grants isolate.exe skill.,isolate.exe,Boss Reward,CENCOM,-
Cerean Salve,"Increases Toughness by +15 when hit by [Attack] skills, up to +150.",-,Class Quest,Cerean,Act 5
Chance's Vest,Grants Gambler's Luck passive.,Gambler's Luck,Class Quest,Gambler,Act 5
Charmer's Veil,Increases [Sleep] and [Stun] damage dealt by 25%. Grants Charm skill.,Charm,Class Quest,Charmer,Act 4
Chef's Toque,"When channeling, reduce damage taken by 25%.",-,Class Quest,Chef,Act 4
Chemist Beaker,Increases damage and healing of items by 25%. Grants Mix.,Mix,Class Quest,Chemist,Act 4
Combat CPU,"Converts 50% of Focus into Power, but automatically acts in battle.",-,Class Quest,Combat Bot,Act 5
Combat Helmet,Damage taken cannot be critical damage.,-,Class Quest,Marine,Act 1
Curtis' Rhythm,Every other [Attack] skill deals 50% increased damage.,-,Class Quest,Boxer,Post Act 2
Dan's Bottle,Hits with [Attack] skills deals up to 5% Current HP [Physical] damage over time for 3 turns. Grants Whiskey skill.,Whiskey,Class Quest,Biker,Act 1
Daniela's Hat,Heal self for 20% Max HP when Resisting a [Debuff]. ,-,Class Quest,Cop,Act 5
Dark Fervor,Gain turn progress equal to half of sacrificed HP percent.,-,Class Quest,Fallen,Act 4
Dark Heart,Dealing [Dark] damage heals you for 35% of the damage. Grants Darkblade passive.,Darkblade,Class Quest,Dark Knight,Act 2
