relic_id,type,name,short_name,effect,effect_short,granted_skill,unlock_class_id,source_method,availability,sprite_path,param
Apollo,gem,Apollo's Token,Apollo,Increases Focus and Discipline by +5 and +15%.,-,-,-,Mission Reward,-,assets/relic/apollo.png,[1.15;5.0]
Ares,gem,Ares Gem,Ares,Increases Power and Toughness by +5 and +15%.,-,-,-,Mission Reward,-,assets/relic/ares.png,[1.15;5.0]
Artemis,gem,Artemis Gem,Artemis,Increases Agility and Technique by +5 and 15%.,-,-,-,Mission Reward,-,assets/relic/artemis.png,[1.15;5.0]
Athena,gem,Athena Token,Athena,Increases Power and Wisdom by +5 and +15%.,-,-,-,Mission Reward,-,assets/relic/athena.png,[1.15;5.0]
Diana,gem,Diana's Gem,Diana,"Increases Technique by +10 and +25%, but decreases Agility by 10%.",-,-,-,Mission Reward,-,assets/relic/diana.png,[0.9;1.25;10.0]
Hades,gem,Hades Gem,Hades,Increases Focus and Toughness by +5 and +15%.,-,-,-,Mission Reward,-,assets/relic/hades.png,[1.15;5.0]
Hera,gem,Hera's Diadem,Hera,Increases Discipline and Wisdom by +5 and +15%.,-,-,-,Mission Reward,-,assets/relic/hera.png,[1.15;5.0]
Hermes,gem,Hermes Wing,Hermes,Increases Speed and Agility by +5 and +15%.,-,-,-,-,-,assets/relic/hermes.png,[1.15;5.0]
Mars,gem,Mars' Gem,Mars,"Increases Power by +10 and +25%, but decreases Endurance by 10%.",-,-,-,Mission Reward,-,assets/relic/mars.png,[0.9;1.25;10.0]
Mercury,gem,Mercury's Caduceus,Mercury,"Increases Speed by +10 and +25%, but decreases Toughness by 10%.",Increases SPD by +10 and +25%. Decreases TGH by 10%.,-,-,Mission Reward,-,assets/relic/mercury.png,[0.9;1.25;10.0]
Poseidon,gem,Poseidon's Trident,Poseidon,Increases Power and Focus by +5 and +15%.,-,-,-,Mission Reward,-,assets/relic/poseidon.png,[1.15;5.0]
Sol,gem,Sol's Gem,Sol,"Increases Focus by +10 and +25%, but decreases Wisdom by 10%.",-,-,-,Mission Reward,-,assets/relic/sol.png,[0.9;1.25;10.0]
Swiftness,gem,Swiftness Totem,Swiftness,Using a SkillType.Attack skill has a 15% chance to grant a Free Turn.,SkillType.Attack skills sometimes grant a Free Turn.,-,-,Mission Reward,-,assets/relic/swiftness.png,[15.0]
Vulcan,gem,Vulcan's Obsidian,Vulcan,"Increases Toughness by +10 and +25%, but decreases Power by 10%.",-,-,-,Mission Reward,-,assets/relic/vulcan.png,[0.9;1.25;10.0]
Zeus,gem,Zeus Gem,Zeus,Increases all attributes by +5 and 5%.,-,-,-,Mission Reward,-,assets/relic/zeus.png,[1.05;5.0]
AbrahamsLocket,relic,Abraham's Locket,Abe's Locket,Decreases taken damage based on current HP up to 50%.,-,-,vampire_hunter,Class Quest,Act 3,assets/relic/abrahams_locket.png,[0.5;1.0]
AgentsWatch,relic,Agent's Watch,Agents Watch,Decreases turn delay of SkillType.Attack skills by 10%. Grants Disarm skill.,Decreases turn delay of SkillType.Attack skills. Grants Disarm.,Disarm,secret_service,Class Quest,Post Act 3,assets/relic/agents_watch.png,[0.9;1.0]
AlacrityImplant,relic,Alacrity Implant,Alacrity,Increases Technique by 0.35x Speed. Grants Frenzy skill.,-,Frenzy,super_soldier,Class Quest,Act 1,assets/relic/alacrity_implant.png,[0.35]
AncientSling,relic,Ancient Sling,Ancient Slg,Power and Technique increased by +25 against Extreme Danger and Boss battles.,POW and TEC increased by +25 vs Extreme Danger and Boss battles.,-,-,-,-,assets/relic/ancient_sling.png,[25.0]
AngelsWing,relic,Angel's Feather,-,"Prevents being downed and casts Holy Shield on self when critical, once per battle.",-,-,angel,-,-,assets/relic/angels_feather.png,[2;7]
AnkhStaff,relic,Ankh Staff,-,Increases Bleedout time for allies by 2 turns.,-,-,jackal,Class Quest,Act 1,assets/relic/ankh_staff.png,[5]
Antagonist,relic,Antagonist,-,Heal for 10% of maximum HP whenever you deal SkillType.Stun damage.,-,-,clown,Class Quest,Post Act 1,assets/relic/antagonist.png,[0.1;0.5]
ArcaneVision,relic,Arcane Vision,Arcane Vis,Increases Technique by 0.5x Focus.,Increases Technique by 0.5x Focus.,-,spellblade,Class Quest,Act 3,assets/relic/arcane_vision.png,[0.5]
AromaticMask,relic,Aromatic Mask,Aroma Mask,Gain 3 Resist before every turn.,-,-,plague_doctor,Class Quest,Act 1,assets/relic/aromatic_mask.png,-
AsarielsTouch,relic,Asariel's Halo,Asariel Halo,Healed allies receive 15% increased healing for 3 turns. Grants Mend skill.,-,Mend,angel,Class Quest,Post Act 2,assets/relic/asariels_halo.png,[0.15]
AssassinSpirit,relic,Assassin Spirit,AssassinSprt,"When an enemy is downed, 35% chance to gain a Free Turn.",-,-,assassin,Class Quest,Act 1,assets/relic/assassin_spirit.png,[35.0]
Forge,relic,Forge Emblem,Forge,Decreases SkillType.Fire damage taken by 25%. Grants Warm Up skill.,Decreases SkillType.Fire damage taken. Grants Warm Up skill.,Warm Up,-,Class Quest,Act 1,assets/relic/forge.png,[0.75]
Attunement,relic,Attunement,-,Adds up to 1x MP Cost to SkillType.Spell hits. Grants Moonbeam skill.,-,Moonbeam,druid,Class Quest,Act 3,assets/relic/attunement.png,-
Pamphlet,relic,AutoMedico Pamphlet,Pamphlet,Increases Particles gained from battle by 10%.,-,-,med_bot,Class Quest,Act 2,assets/relic/pamphlet.png,[1.1]
Hestia,relic,Hestia's Flame,Begin,Increases Endurance and Wisdom by +5 and +15%.,-,-,-,-,-,assets/relic/pyx.png,[1.15;5.0]
BansheesWail,relic,Banshee's Wail,Banshee Wail,SkillType.Sonic skill damage gains 25% piercing. Grants Wail skill.,-,Wail,banshee,Class Quest,Act 2,assets/relic/banshees_wail.png,[0.25;1.0]
Barbarism,relic,Barbarism Totem,Barbarism,Decreases MP cost of SkillType.Attack skills by 50% but decreases Wisdom by 25%.,Decreases MP cost of SkillType.Attack skills but decreases Wisdom.,-,barbarian,Class Quest,Act 2,assets/relic/barbarism.png,[0.5;0.75]
BattlePlan,relic,Battle Plans,-,Increases Wisdom by +15 and 25%. Grants Strategize skill.,-,Strategize,general,Class Quest,Act 2,assets/relic/battle_plans.png,[1.25;15.0]
Warhorn,relic,Viking Warhorn,Warhorn,Increases Max HP by 20%. Grants Battle Cry skill.,-,Battle Cry,viking,-,-,assets/relic/misses.png,[1.2]
BioticBattery,relic,Biotic Battery,Blocks up to ,"Self SkillType.Healing received also creates a shield, blocking up to 35% Max HP damage. Grants Reserve Battery.",Self SkillType.Healing also creates a shield. Grants Reserve Battery.,-,-,Class Quest,Act 5,assets/relic/biotic_battery.png,[2;3;4]
BlackBeret,relic,Black Beret,Blk Beret,"Increases all attributes by +1 for every 20 damage blocked by this hero's skills, up to +50.","Gain +1 to all attributes for every 20 damage blocked, up to +50.",-,mime,Class Quest,Post Act 4,assets/relic/black_beret.png,[50.0]
BlitzersSpeed,relic,Blitzer's Speed,Blitzer Spd,Gain 15% increased Speed for the first three turns of battle. Grants Blitz Stance skill.,-,Blitz Stance,linebacker,Class Quest,Post Act 1,assets/relic/blitzers_speed.png,[1.15]
BloodyCloth,relic,Bloody Cloth,Bld Cloth,"Sacrificing HP increases Endurance based on percent sacrificed, up to +150.",-,-,blood_zealot,Class Quest,Act 4,assets/relic/bloody_cloth.png,-
Blueberry,relic,Blueberry,-,Increases MP Healing output by 40%.,-,-,pixie,Class Quest,Post Act 3,assets/relic/blueberry.png,[0.4]
BoosterShot,relic,Booster Shot,-,Increase SkillType.Healing skill strength by 20% for each Resist stack on target.,Increase SkillType.Healing based on target's Resist stacks,-,doctor,Class Quest,Post Act 3,assets/relic/booster_shot.png,[0.2]
